1369,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1379,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1395,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1405,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1412,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1420,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1434,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1445,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1467,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1470,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1474,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1475,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1477,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1481,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1516,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1518,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1519,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1523,S/D,S/D,INTRODUCCION A JAVA,21631
1524,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
1530,S/D,S/D,INTRODUCCION A JAVA,21631
1532,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1537,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1538,TERCIARIO COMPLETO,SI,INTRODUCCION A JAVA,21631
1552,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1571,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1596,SECUNDARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1602,SECUNDARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21631
1604,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1608,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21631
1621,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21631
561,TERCIARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21632
562,UNIVERSITARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21632
563,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
564,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
565,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
566,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
567,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21632
568,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21632
569,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
570,SECUNDARIO COMPLETO,NO,INTRODUCCION A JAVA,21632
571,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
572,UNIVERSITARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21632
573,TERCIARIO INCOMPLETO,NO,INTRODUCCION A JAVA,21632
574,TERCIARIO COMPLETO,NO,INTRODUCCION A JAVA,21632
1133,TERCIARIO INCOMPLETO,SI,INTRODUCCION A JAVA,21632
1134,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
1136,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
1137,UNIVERSITARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
1141,SECUNDARIO COMPLETO,SI,INTRODUCCION A JAVA,21632
